Element Type,Layer Name,Width,Height,Length,Area,Position X,Position Y
Wall (interior),main floor interior line,,,41.99976095580905,,1306.538891323219,906.5285535607753
Wall (interior),main floor interior line,,,60.559655321043806,,1264.53913036741,906.5285535607753
Wall (interior),main floor interior line,,,41.99976095580905,,1264.53913036741,845.9688982397315
Wall (interior),main floor interior line,,,53.30455567945137,,1264.53913036741,906.5285535607753
Wall (interior),main floor interior line,,,107.99938531493922,,1198.53950600828,845.9688982397315
Wall (interior),main floor interior line,,,60.559655321043806,,1306.538891323219,845.9688982397315
Wall (interior),main floor interior line,,,161.99907797240917,,1306.538891323219,906.5285535607753
Wall (interior),main floor interior line,,,60.559655321043806,,1144.53981335081,906.5285535607753
Wall (interior),main floor interior line,,,23.999863403319978,,1144.53981335081,845.9688982397315
Wall (interior),main floor interior line,,,21.75987615234328,,902.6211902453457,645.2500406432993
Wall (interior),main floor interior line,,,0.7199959020994129,,902.6211902453457,623.490164490956
Wall (interior),main floor interior line,,,21.75987615234328,,901.9011943432463,623.490164490956
Wall (interior),main floor interior line,,,20.95988070556598,,901.9011943432463,645.2500406432993
Wall (interior),main floor interior line,,,51.83970495117103,,901.9011943432463,624.2901599377333
Wall (interior),main floor interior line,,,41.999760955809734,,850.0614893920753,624.2901599377333
Wall (interior),main floor interior line,,,48.479724074706155,,850.0614893920753,666.289920893543
Wall (interior),main floor interior line,,,21.039880250243755,,898.5412134667814,666.289920893543
Wall (interior),main floor interior line,,,9.958577764690906,,854.0614666259619,657.1699728002815
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,656.9299741662481
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,656.5299764428596
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,656.129978719471
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,655.7299809960823
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,655.3299832726937
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,654.929985549305
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,654.5299878259164
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,654.1299901025277
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,653.729992379139
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,653.3299946557503
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,652.9299969323617
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,652.529999208973
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,652.1300014855844
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,651.7300037621957
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,651.3300060388071
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,650.9300083154185
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,650.5300105920298
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,650.1300128686408
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,649.7300151452523
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,649.4100169665414
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,649.0100192431527
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,648.6100215197641
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,648.2100237963755
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,647.8100260729868
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,647.4100283495982
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,647.0100306262095
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,646.6100329028209
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,646.2100351794322
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,645.8100374560435
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,645.4100397326548
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,645.010042009266
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,644.6100442858774
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,644.2100465624887
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,643.8100488391
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,643.4100511157114
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,643.0100533923227
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,642.6100556689341
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,642.2100579455454
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,641.8100602221568
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,641.4100624987682
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,641.0100647753795
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,640.6100670519909
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,640.2100693286022
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,639.8100716052136
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,639.4900734265024
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,639.0900757031138
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,638.6900779797251
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,638.2900802563365
